id,recipe_name,ingredients,dietary_tags,meal_type,cuisine_type,instructions,allergens,id
239,Protein Smoothie,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","vegetarian, low-carb",dinner,American,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy,239
240,Avocado Toast,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","low-carb, paleo",snack,Mediterranean,"Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs,240
241,Protein Smoothie,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",vegetarian,snack,Mediterranean,"Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes.",Peanuts,241
242,Beef Stir Fry,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","vegetarian, vegan, keto-friendly",lunch,Mexican,"Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,242
243,Gluten-Free Pancakes,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",low-carb,lunch,Mediterranean,"Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth.",Eggs,243
244,Vegetarian Chili,"Banana, Whey protein, Almond milk, Peanut butter","vegan, paleo",dinner,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,244
245,Vegetarian Chili,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","high-protein, keto-friendly, low-carb",dinner,Italian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,245
246,Taco Salad,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","vegetarian, high-protein",dinner,Italian,"Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes.",Eggs,246
247,Shrimp Pasta,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",dairy-free,snack,Asian,Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later.,Eggs,247
248,Taco Salad,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",vegan,dinner,Mediterranean,"Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces.",,248
249,Beef Stir Fry,"Lentils, Carrots, Celery, Garlic, Vegetable broth",low-carb,dinner,American,"Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes.",Peanuts,249
250,Taco Salad,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","paleo, vegan, dairy-free",snack,American,"Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,250
251,Protein Smoothie,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","vegetarian, dairy-free, keto-friendly",snack,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces.",Dairy,251
252,Lentil Soup,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","vegetarian, high-protein",snack,American,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes.",Gluten,252
253,Beef Stir Fry,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",dairy-free,dinner,Asian,"Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes.",Gluten,253
254,Avocado Toast,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",low-carb,snack,American,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later.",,254
255,Lentil Soup,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","vegan, low-carb, gluten-free",breakfast,Mediterranean,"Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden.",Peanuts,255
256,Vegetarian Chili,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",vegetarian,dinner,Mexican,"Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces.",,256
257,Shrimp Pasta,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","keto-friendly, gluten-free",dinner,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden.",Gluten,257
258,Taco Salad,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons",dairy-free,dinner,American,"Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Eggs,258
259,Gluten-Free Pancakes,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","vegetarian, gluten-free",breakfast,Asian,Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later.,Gluten,259
260,Gluten-Free Pancakes,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegetarian, low-carb",dinner,American,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool.",Eggs,260
261,Shrimp Pasta,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","paleo, low-carb",dinner,Mediterranean,"Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool.",Dairy,261
262,Protein Smoothie,"Banana, Whey protein, Almond milk, Peanut butter",vegetarian,snack,American,"In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor.",Gluten,262
263,Lentil Soup,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",vegetarian,snack,Asian,"Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing.",Dairy,263
264,Lentil Soup,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","keto-friendly, high-protein",breakfast,Indian,"In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs,264
265,Gluten-Free Pancakes,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",gluten-free,dinner,Mediterranean,"Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy,265
266,Shrimp Pasta,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","low-carb, vegetarian",lunch,Italian,"Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,266
267,Gluten-Free Pancakes,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",vegan,breakfast,Italian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden.",Eggs,267
268,Gluten-Free Pancakes,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","dairy-free, low-carb, paleo",breakfast,American,"Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,268
269,Shrimp Pasta,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","low-carb, dairy-free",dinner,Italian,"Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Eggs,269
270,Vegetarian Chili,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","keto-friendly, high-protein, vegan",lunch,Indian,"Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden.",Eggs,270
271,Vegan Buddha Bowl,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",vegan,lunch,Mexican,"In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,271
272,Gluten-Free Pancakes,"Lentils, Carrots, Celery, Garlic, Vegetable broth",keto-friendly,dinner,Mediterranean,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces.",Peanuts,272
273,Shrimp Pasta,"Banana, Whey protein, Almond milk, Peanut butter",vegetarian,snack,American,"Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden.",,273
274,Beef Stir Fry,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegetarian, dairy-free",lunch,American,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool.",Dairy,274
275,Taco Salad,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",high-protein,snack,Mediterranean,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool.",Eggs,275
276,Beef Stir Fry,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","vegetarian, vegan, keto-friendly",dinner,Asian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Dairy,276
277,Lentil Soup,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegan, dairy-free",dinner,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing.",Gluten,277
278,Beef Stir Fry,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","low-carb, vegetarian, keto-friendly",breakfast,American,"Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth.",Gluten,278
279,Beef Stir Fry,"Lentils, Carrots, Celery, Garlic, Vegetable broth","vegan, gluten-free",snack,Mediterranean,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later.",,279
280,Chicken Caesar Salad,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons",vegetarian,dinner,Asian,"Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Dairy,280
281,Beef Stir Fry,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",vegetarian,snack,American,"In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Eggs,281
282,Lentil Soup,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","vegan, dairy-free",lunch,Asian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor.",Gluten,282
283,Vegan Buddha Bowl,"Banana, Whey protein, Almond milk, Peanut butter",paleo,dinner,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces.",,283
284,Shrimp Pasta,"Banana, Whey protein, Almond milk, Peanut butter","vegetarian, keto-friendly",dinner,American,"Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Eggs,284
285,Vegetarian Chili,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",low-carb,dinner,American,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Gluten,285
286,Beef Stir Fry,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegetarian, keto-friendly",snack,Asian,"Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes.",Gluten,286
287,Vegetarian Chili,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","keto-friendly, vegetarian, low-carb",dinner,Mexican,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,287
288,Beef Stir Fry,"Lentils, Carrots, Celery, Garlic, Vegetable broth","vegetarian, low-carb, dairy-free",breakfast,Mediterranean,"Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",,288
289,Gluten-Free Pancakes,"Banana, Whey protein, Almond milk, Peanut butter","keto-friendly, paleo",breakfast,Mediterranean,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces.",Peanuts,289
290,Lentil Soup,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","gluten-free, keto-friendly",lunch,Mexican,"Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth.",,290
291,Beef Stir Fry,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",high-protein,breakfast,American,"Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces.",Dairy,291
292,Gluten-Free Pancakes,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons",vegetarian,breakfast,Mexican,"Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden.",Peanuts,292
293,Shrimp Pasta,"Lentils, Carrots, Celery, Garlic, Vegetable broth",gluten-free,snack,Mexican,"In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool.",Dairy,293
294,Protein Smoothie,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","keto-friendly, high-protein",lunch,Asian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor.",Gluten,294
295,Vegan Buddha Bowl,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","high-protein, keto-friendly, low-carb",dinner,Indian,Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later.,,295
296,Lentil Soup,"Banana, Whey protein, Almond milk, Peanut butter","dairy-free, high-protein, vegan",snack,Mediterranean,"Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth.",Eggs,296
297,Chicken Caesar Salad,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",high-protein,breakfast,Indian,"In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",,297
298,Vegan Buddha Bowl,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","gluten-free, keto-friendly, dairy-free",lunch,American,"Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth.",Gluten,298
299,Beef Stir Fry,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",high-protein,lunch,Mediterranean,"Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes.",Dairy,299
300,Taco Salad,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegetarian, vegan",snack,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Gluten,300
301,Taco Salad,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","paleo, vegan",snack,Italian,"Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",,301
302,Chicken Caesar Salad,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","keto-friendly, gluten-free, paleo",lunch,Mediterranean,"In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Gluten,302
303,Vegan Buddha Bowl,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",low-carb,lunch,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden.",,303
304,Protein Smoothie,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","high-protein, vegetarian, low-carb",breakfast,Indian,"In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth.",Gluten,304
305,Avocado Toast,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","keto-friendly, gluten-free",lunch,Italian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",,305
306,Avocado Toast,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","keto-friendly, paleo",dinner,Italian,"Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing.",Gluten,306
307,Protein Smoothie,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","low-carb, vegetarian",breakfast,Asian,"Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor.",Peanuts,307
308,Vegetarian Chili,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","paleo, vegetarian, gluten-free",snack,Mediterranean,"Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth.",Dairy,308
309,Vegan Buddha Bowl,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","paleo, gluten-free",lunch,Asian,"Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy,309
310,Protein Smoothie,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",low-carb,dinner,Indian,"Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool.",Eggs,310
